track,cluster_l1,umap_x,umap_y
&ME - Garden.mp3,Noise,12.480095,7.4507327
0010X0010 - Escape From Rodeo Drive.mp3,H,6.8964486,7.3533688
AKA AKA - Panaji.mp3,N,10.676862,7.037034
ALMA (GER) - Old Dog New Tricks.mp3,G,13.086677,8.035474
ARTBAT - Aquarius.mp3,M,12.720007,8.642967
Acid Pauli - Dancing in the Trunk.mp3,E,9.424121,9.453477
Adana Twins - Origo.mp3,D,9.361301,8.5495825
"AfterU, Miss Monique - Sahara (Miss Monique Remix).mp3",M,12.046055,9.297812
Agoria feat. STS - Call Of The Wild (Glowal Wild Remix).mp3,P,10.455012,8.311182
Akio Nagase - Sunday Park Jazz.mp3,F,12.138291,5.674599
Alex Breitling - Bring It Back.mp3,Noise,11.949978,7.048416
Alex Dimou - Creep Inside.mp3,E,9.333703,9.352699
Alex Dimou - What Keeps You There (Cevin Fisher Remix).mp3,L,10.306213,6.319601
Alex Dimou - What Keeps You There.mp3,L,11.180541,6.570158
Alex Dimou feat. Black Soda - This Time.mp3,E,9.223518,9.592713
Alex Niggemann - Serenity.mp3,N,8.223662,7.547269
"Alexander Alar, Sonita - Tokyo.mp3",G,13.54534,7.8080378
Amy Root - June (Mees Salomé Remix).mp3,P,10.95533,8.0409775
Andhim - Taxi.mp3,I,12.354215,6.650462
Andreas Henneberg - Rubbed Down.mp3,C,8.882853,8.770581
Anton Dhouran - Osmekha (Ruede Hagelstein Remix).mp3,N,10.088964,7.278822
BOg - Corso.mp3,J,13.5819235,8.452148
BOg - Drawing Board.mp3,N,9.898776,7.722137
"BOg, GHEIST, Fideles - Venere (Fideles Remix).mp3",G,13.282886,7.6001306
Bait & Switch - You Are In Trouble.mp3,N,10.758733,6.899644
Belocca - Mother Earth.mp3,H,7.0928574,7.0844603
Benno Blome - Abotha (Mihai Popoviciu Remix).mp3,L,10.613775,6.548727
"Betoko, Kastis Torrau - Dosya.mp3",Noise,10.088961,8.899468
Black Girl _ White Girl - Green Crack.mp3,H,7.3206754,7.170211
"Bora Uzer, VANDER (DR), Mynox, Pandhora - Let It Breathe (Pandhora Remix).mp3",M,12.104563,8.825593
Brendon Moeller - Linear Daybreak.mp3,Noise,8.195264,7.256667
"Burger, Voigt - Wandaus Klang.mp3",N,9.2789545,7.551786
Butane feat. Worldline - Rave Etiquette.mp3,A,10.352169,5.3108883
Butch - Lale.mp3,A,10.65111,5.4890447
"C-Jay - BackSlider, Pt. 3.mp3",N,9.091125,7.469972
Carbon - Go Through That.mp3,B,11.310712,9.366527
"Carlo Lio, Harvey McKay - Droid Decay.mp3",C,8.788357,8.909319
Carlo Ruetz - Outlaws.mp3,Noise,8.226955,8.337907
"Cee ElAssaad, Mario Bianco - El Cant Dels Ocells.mp3",Noise,11.920795,7.6537223
Christopher Kah - Thrust.mp3,H,6.973695,7.108923
Christos Fourkis - Black Rat.mp3,K,11.406875,7.0616956
Chus & Ceballos feat. Astrid Suryanto - All I Want (Oscar L Remix).mp3,D,9.180074,8.915882
Cid Inc. - Via Karelia.mp3,M,12.826646,8.698036
Cirez D - The Raid.mp3,G,13.71466,7.221801
Club Tularosa - Kenji.mp3,F,12.302545,6.2554035
Coeus - Horizon.mp3,G,13.525889,7.5159116
Coeus - Momentum.mp3,M,12.287612,8.055381
Collective States - Lonesome Ghosts.mp3,M,12.300675,9.362142
"D-Nox, Gai Barone - To The Disco.mp3",J,13.161552,8.525522
DJ Angelo - Babel.mp3,Noise,11.867196,7.4243855
Damon Jee - Ride Alone.mp3,F,12.204182,6.028803
Dance Spirit - Rare Form.mp3,E,9.140033,9.28781
Dance Spirit - Raver Etiquette.mp3,E,9.299505,9.394281
Dance Spirit - Speaker Freaker.mp3,E,9.10897,9.388928
"Dandara, Klik & Frik - Caracal (Klik & Frik Remix).mp3",I,12.799229,6.2088027
Daniel Rateuke - Flares.mp3,M,12.561711,8.435628
Darren Emerson - Hot dog (Florian Meindl Remix).mp3,B,11.279416,9.481043
"Dave Pad, Spieltape - Space Chants.mp3",Noise,11.456962,8.180547
"Davide Squillace, Basti Grub, Julian Smith - Let's Go Deep.mp3",N,10.546619,7.129258
Denis A - Space Truck.mp3,G,13.879568,8.063393
Dennis Cruz - Rock & Roll.mp3,D,9.147882,9.021172
Dense & Pika - Apache.mp3,Noise,8.013252,7.8337674
Depeche Mode - Enjoy the silence (Brigado Crew Unofficial Remix).mp3,M,12.425932,9.369834
Dhillon - Intro.mp3,P,10.360493,8.113438
Dj Pressing - Altiplano.mp3,F,12.026377,5.979059
"Djuma Soundsystem, NenaHalena - Nangarin.mp3",L,11.266577,6.767273
"Djuma Soundsystem, NenaHalena - Rim Jhim (David Mayer Remix).mp3",L,10.777382,6.50014
"Djuma Soundsystem, NenaHalena - Rim Jhim.mp3",M,12.220854,8.597559
Doctor Dru - Soharab.mp3,Noise,12.015159,6.5548553
Doctor Dru - Wahah.mp3,M,12.208961,8.576615
"Dole & Kom, Stephan Zovsky - Love (Stephan Zovsky Remix).mp3",J,13.260622,8.792852
Dosem - All Locations.mp3,C,8.909371,8.699378
"Dubfire, Kate Elsworth, Carl Craig - Lotus.mp3",K,11.440054,7.003266
Eagles & Butterflies - Comet.mp3,Noise,9.215936,8.263742
El Mundo & Satori - Spread The Word (Mihalis Safras Edit).mp3,A,10.811593,5.048102
"El Mundo, Zazou - House Of Lights.mp3",I,13.038977,6.4640045
Electric Rescue -  Dope.mp3,Noise,10.73704,9.379784
Electric Rescue - Open Fire.mp3,C,8.6258745,9.083748
Elena Pavla - Secret Kitchen (Jamie Stevens 2001 West Coast Dub).mp3,L,10.328263,6.1922283
"Elio Riso, Vikthor - Soul & Trip.mp3",H,7.4262757,7.041046
Elisa Bee - Absorption.mp3,H,7.7019224,7.633727
Emanuele Vernarelli - Blue Pillar.mp3,Noise,8.139137,8.271211
"Emmanuel Jal, Henrik Schwarz - Kuar (Don't Let Your Vote Be Fake Newsed Mix).mp3",M,11.871893,9.273775
Fairmont - Scopulus.mp3,M,12.455895,9.01877
Far&High - Alone.mp3,G,13.725233,7.5434623
Four Hands (GER) - Everlasting World.mp3,M,12.295141,9.434577
"Francisco Allendes, Felipe Venegas - Llovizna (Luciano Remix).mp3",L,10.068749,6.184776
Fulltone - C'est Bon.mp3,K,11.634294,7.1900315
Fur Coat - Ethereal.mp3,N,9.832431,8.117631
Futuristant - The Future Dance (Rigopolar Remix).mp3,F,11.916736,6.1269984
Gardens of God - Zero One.mp3,N,8.476192,7.610637
"Gorge, Markus Homm - El Fluvio de la Vida.mp3",A,11.018498,4.913081
Gorgon City - Roped In.mp3,A,10.630805,5.0454865
Guy Gerber - Timing.mp3,Noise,12.999355,9.086089
Guy J - Mind Of.mp3,C,8.937714,8.704296
Guy J - The Right Place.mp3,I,12.781173,6.144175
"Guy Mantzur, Khen - Where Is Home.mp3",G,13.416981,7.7543244
Hanna Haïs feat. Aminata Kouyaté - Soumalé.mp3,M,12.441839,8.38629
Henry Saiz - The Cryptologist.mp3,N,10.7037325,7.5472116
Hobo - Sentinel.mp3,H,7.63705,6.9291835
"Hosini, DSF - Centauri (DSF Remix).mp3",K,11.586835,7.1328535
"Housekeeping, Andfolk feat. Deanna Leigh - Faces (Extended Mix).mp3",O,11.55329,8.166595
Hunter Game - Silver (Silence Live Mix).mp3,H,7.790914,7.655429
"Hyenah, Lazarusman - Not Enough.mp3",K,11.628295,7.2424912
Ikarius - Time (Pavel Petrov Remix).mp3,J,13.529105,8.752715
Iman Hanzo - Burn Up.mp3,A,11.197217,5.1851454
Indid - See You.mp3,M,12.404407,8.067566
Innellea - Anamorfose.mp3,N,9.498672,7.693216
Innellea - Internal Shifts.mp3,N,8.819616,7.463469
Innellea - Prospective Vision.mp3,N,9.32449,7.6632323
Innellea - White Blanket.mp3,I,12.93593,6.8185716
Innellea - Wo bist Du.mp3,N,10.178216,7.749336
Invōker - Râ.mp3,I,13.210204,6.4542947
"Iorie, Arutani - De la Vida (NINZE & OKAXY Remix).mp3",I,12.818801,6.168114
James Orvis - Acid.mp3,Noise,8.483235,8.681244
Jaydee - Plastic Dreams (Nicole Moudaber Renaissance Remix).mp3,H,7.7171926,7.21562
Johannes Volk - Extra Dimensions.mp3,H,7.5229864,6.855042
John Digweed & Nick Muir vs. Carlo Lio - Infinity Road.mp3,Noise,8.488183,8.629474
John Digweed & Nick Muir vs. Ian O'Donovan - Dawnbreaker.mp3,G,13.417571,7.944948
John Digweed & Nick Muir vs. Jozif - Groove de verano.mp3,L,10.907065,6.578785
John Digweed & Nick Muir vs. Marco Bailey - Red Tape.mp3,Noise,10.156381,9.04951
John Digweed - Warung Beach (Luetzenkirchen Remix).mp3,G,13.946737,7.749542
John Dimas - Impress Me (Anonym Show Me What'cha Got Remix).mp3,L,10.019669,6.4183784
Jorge Savoretti - Hyspi.mp3,L,10.487823,6.3296866
Joris Voorn - Goodbye Fly.mp3,A,10.4611845,5.4865723
Joseph Ashworth - Dominika.mp3,P,11.15614,7.8907084
Josh Wink - Higher State Of Consciousness (Adana Twins Remix Two).mp3,M,12.376112,9.098573
Josh Wink - Stay Out All Night (Radio Slave Remix).mp3,A,11.354899,5.295276
Kellerkind - Sleepless Fox.mp3,O,11.784144,8.104524
Kerala Dust - Magdalena.mp3,N,10.323989,7.539978
Khen - Out Of A Dream.mp3,O,11.442779,7.7809997
Knives Out - Sugarcoat (Sasha Ambient Remix).mp3,N,9.731998,7.855459
Kotelett & Zadak - Never Enough.mp3,O,11.585362,7.892079
La Fleur - Aphelion.mp3,C,8.742074,8.910683
Loco Dice - Believe in Me.mp3,Noise,10.114051,6.8362627
"Loco Dice, Eddie Fowlkes - Boogie Mandroid.mp3",Noise,11.744545,6.5649443
Lopezhouse - Dusseldorf.mp3,G,13.813808,8.054314
Lopezhouse - Motorik (Original Mix).mp3,Noise,13.000054,7.3291264
Lopezhouse - Something Is Happening.mp3,G,13.45436,7.018784
MARIA Die RUHE - Cims.mp3,M,12.728829,9.360246
Maceo Plex - Mutant Magic.mp3,G,13.962644,7.5954847
Madben - Blow.mp3,Noise,8.386741,8.54089
Maksim Dark - Energize.mp3,Noise,13.816548,8.490744
Malandra Jr. - Cariilon.mp3,N,9.57821,7.93975
Malandra Jr. - Magnetik.mp3,N,10.2929,7.2820344
"Mark Dekoda, Orkestrated - Ghost.mp3",B,11.112698,9.638285
Marsh - 1992 (Extended Mix).mp3,M,12.855734,8.696954
Massano - The Feeling.mp3,J,13.377746,8.797453
"Matador, ARTBAT - Visitor.mp3",Noise,12.052476,7.1260934
"Mathias Rehfeldt, Dark Matter Projekt - Zeit (Niconé & Dirty Doering Remix).mp3",I,13.073507,7.0109053
"Mathias Schober, Atelier. - The Fall Feat. Atelier.mp3",M,12.6059675,8.84738
Matthias Meyer - Fantazy.mp3,N,11.159485,7.423342
"Matthias Meyer, Ryan Davis - Love Letters From Sicily.mp3",P,11.051443,8.1175785
Matthias Schuell - Mephisto.mp3,M,12.329129,8.780496
Matthias Tanzmann - Atacama.mp3,M,12.069675,7.946832
"Michel De Hey, Rauwkost - Julienzzz.mp3",Noise,10.407884,6.6654053
Michel de Hey & Rauwkost - Julienzzz (Paul C & Paolo Martini Remix).mp3,A,11.223128,4.839469
Mind Against - Walking Away.mp3,N,10.587232,7.6733356
Misstress Barbara - Azzurri.mp3,A,10.882043,5.313592
Monkey Safari - Chari Chari.mp3,O,11.449817,7.722032
Monkey Safari - Mantra.mp3,Noise,10.838572,8.820298
Monkey Safari - Tollo.mp3,P,10.958749,8.345899
Mosley Jr - Sun_Set.mp3,P,10.783242,8.147995
Mr Raoul K - O Mera Dil (Auztin Pauers & Ezrael Remix).mp3,L,10.100006,6.3698807
"NenaHalena, Akil - La Ka Rubà (Jonas Rathsman Remix).mp3",O,11.482147,7.7903085
Nhii - Meyha.mp3,Noise,11.784056,6.718052
Nicolas Jaar - Time for Us.mp3,F,12.014576,6.045648
Niconé - Miau On Acid.mp3,F,12.200458,5.8716373
Niki4 - Ederlezi.mp3,Noise,13.003344,8.399241
"Nina Kraviz, Bara Nova - Surprise Me, I'm Surprised Today.mp3",H,7.4077854,7.493835
"Noir, Olivier Giacomotto feat. Hendrik Burkhard - Blackrays (Kiko & Citizen Kain Remix).mp3",G,13.586254,8.095123
Oliver Koletzki - Lenny In The Sea With Dolphins.mp3,F,12.378592,5.8388314
"Oliver Koletzki, Monolink ‒ We are all lost (Nico Stojan Remix).mp3",I,12.873342,6.540752
Oliver Lieb - Oasis 2020 (Frankyeffe Remix).mp3,H,6.79473,7.2275023
Oliver Lieb - Red Phosphorous (Reduced Mix).mp3,H,6.689684,7.1374226
Paperclip People - Throw (Slam's RTM Remix).mp3,A,11.079807,5.013646
Paulor - Spaceship (Vitalic Remix).mp3,G,13.983917,7.542192
"Peer Kusiv, Lenny - Toxic Temptation (Undercatt Remix).mp3",Noise,11.140093,5.9315915
"Peshay, Vsy - Universalis.mp3",A,11.234271,4.877355
"Pete Tong, John Monkman - Aquarius.mp3",D,8.956277,9.1462345
Pig & Dan - Return To Mono.MP3,Noise,12.584028,7.6974034
Pig & Dan and M.E.M.O. - Viking Princess.mp3,Noise,9.830198,8.5561285
Pig&Dan (Destination Unknown) - Positive Vibrations.mp3,L,11.336407,6.722205
"Pig&Dan, Victor Ruiz - Paradise Lost.mp3",H,6.729928,7.20167
Pole Folder - Waxxx (Pole Folder & CP Mix).mp3,Noise,8.4568205,6.8204246
Pryda - The Beginning.mp3,G,14.033652,7.5042067
Quivver - Takin Over (Vincenzo Remix).mp3,I,13.162545,6.671338
RDNK - Guess the Number.mp3,B,11.191834,9.598628
Radio Slave - Stay Out All Night.mp3,H,7.322739,7.351846
Redsea (IT) - Around My Head (The Drifter Remix).mp3,I,12.475749,7.0421443
Rex the Dog - Vortex (Krystal Klear Remix).mp3,Noise,9.939873,7.3974757
Rob Hes - Army Of One.mp3,Noise,8.809035,8.075973
Robert Babicz - Shifting Reality.mp3,D,9.364824,8.840288
"Roderic, Jacqueline Jones - Passengers (Acid Pauli Remix).mp3",N,10.95367,7.6479936
Rogue D - Burning.mp3,Noise,11.453348,6.223671
Sainte Vie - High Seas.mp3,M,12.403285,8.006993
Saints and Sinners - Pushin too hard (The Official 2003 Remix).mp3,Noise,13.931578,7.004016
Sall - Get Ready.mp3,H,6.7343082,7.0857496
Sam Goku - Momentum.mp3,D,9.498176,8.745044
Sam Goku - Odd Speech.mp3,N,9.5712185,7.461068
Sam Goku - Zero One Lotus.mp3,Noise,9.554873,7.207304
"Sandy Rivera, Rae - Hide U (Chicola Extended Remix).wav",M,12.625193,8.887693
"Sebjak, Fahlberg - Chaka.mp3",I,12.483553,6.6048064
Sharif Laffrey - Sounds To Come.mp3,Noise,13.599898,6.758449
Shouse - Love Tonight (Mike Simonetti Remix).mp3,N,9.679103,7.804308
Slow Nomaden - Eternal Blue Sky.mp3,N,10.921052,7.4050636
Sobek - Charmer.mp3,I,12.6418495,6.917175
Spieltape - All Of You (Oliver Schories Remix).mp3,B,11.338438,9.158558
Stelios Vassiloudis - Coma.mp3,E,9.352473,9.566178
Steve Parry - Flippant.mp3,I,12.273463,6.87336
Sunscreem - Perfect Motion (Patrice Bäumel Renaissance Remix).mp3,Noise,10.57088,9.455767
Super Flu - Really Really.mp3,Noise,12.54585,7.569728
Tapan feat. Radwan Ghazi Moumneh - In My Heart feat. Radwan Ghazi Moumneh (Khidja Remix).mp3,I,12.889483,6.233764
The Japanese Popstars feat. Green Velvet - Matter of Time (Coyu 2020 Rework).mp3,H,6.725918,7.246863
Tibi Dabo - Disbelieve my-free-mp3s.com .mp3,E,9.439532,9.495684
Tibi Dabo - Her Moon.mp3,D,9.513398,8.559398
Tibi Dabo - Hire The Birds.mp3,L,9.944195,6.2274017
Timboletti - Dhunche.mp3,Noise,12.411411,7.6643724
Timo Maas - Brummer.mp3,D,9.29038,8.509394
Timo Maas - The Religion of Love (Kotelett Bonus Mix) (Kotelett Bonus Mix) myfreemp3.vip .mp3,J,13.091443,8.926768
Timo Maas - The Religion of Love (Kotelett Unconditional Love Version) (Kotelett Unconditional Love Version) myfreemp3.vip .mp3,M,12.580705,9.123721
Timo Maas - The Religion of Love.mp3,F,11.613914,6.1312156
Tocadisco - Paradiesvogel.mp3,G,13.238583,7.8578916
Tosca - Pyjama Stereotype Mix #1.mp3,L,10.372522,6.078413
Troy Pierce - Lost On The Way To DC10 (Berlin Version).mp3,E,9.42073,9.400005
Tunnelvisions - M.G.M.M..mp3,P,10.499121,8.207647
VSY - Aria.mp3,Noise,13.422129,6.403764
VSY - Devolve.mp3,Noise,8.686964,7.171294
VSY - Find Me.mp3,N,8.426171,7.72182
VSY - Fragment.mp3,A,10.5046835,5.2121983
VSY - I Want.mp3,M,11.996865,9.531365
VSY - Sections.mp3,H,7.651857,7.0253043
VSY - The Void.mp3,L,10.49973,6.0685697
VSY - Tick Tock.mp3,A,10.46657,5.026093
VSY - Turtles.mp3,Noise,11.733534,8.99842
VSY - Walk Deep.mp3,Noise,12.000968,7.200348
Whitesquare - Visual Distortion of Reality.mp3,I,12.725714,6.6054554
Yamil - Never No Right (Djolee Remix).mp3,M,12.437773,8.073025
Yotto - Nova (Extended Mix).mp3,M,11.96757,9.370639
Yotto - Walls (Joris Voorn).mp3,A,10.832652,4.9831424
Yulia Niko - Sound Factory.mp3,H,7.230412,7.250596
nthng - Untitled (Human Pt. II).mp3,N,8.583381,7.356075
